id,category,question,answer,answer_correct,expect_abstain,abstained,abstention_correct,expected_conflict,detected_conflict,conflict_correct,citation_correct,primary_citation_correct,retrieval_hit,hallucinated_value,adjudicator_invoked,llm_calls,latency,system
clean-01,clean,How many paid leave days are interns entitled to?,"Interns engaged for a period of six months or less are entitled to 12 days
of paid leave, prorated by duration of engagement. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
clean-02,clean,What is the minimum password length?,Passwords must be at least 14 characters and must be rotated every 180 days. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
clean-03,clean,How often must passwords be rotated?,Passwords must be at least 14 characters and must be rotated every 180 days. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
clean-04,clean,Within how many hours must a suspected security incident be reported?,"Suspected security incidents must be reported to the security team within
4 hours of discovery. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
clean-05,clean,After how many days of no use is production access automatically revoked?,"Access not used for
90 consecutive days is automatically revoked. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
clean-06,clean,How many days in advance must leave be approved by a manager?,"All leave must be approved by the reporting manager at least 7 working days
in advance, except in the case of medical emergencies. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
clean-07,clean,How many days per month may employees work remotely?,REMOTE WORK Employees may work remotely up to 8 days per month with manager approval. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
clean-08,clean,Within how many days must business expenses be submitted?,Business expenses must be submitted within 30 days of being incurred. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
contra-01,contradictory,How many paid annual leave days do full-time employees get?,A: Full-time employees get 18 days of paid annual leave per year. [0],False,False,False,True,True,False,False,False,False,True,True,False,0,0.001,vanilla_rag
contra-02,contradictory,What is the refund window for a software licence?,"Customers may request a full refund within 14 days of purchase for any
Northwind Systems software licence. [0]",False,False,False,True,True,False,False,False,False,True,True,False,0,0.001,vanilla_rag
contra-03,contradictory,How much annual leave does the company offer its people?,"Our people enjoy a generous 35 days of
annual leave, which is well above the industry average. [0]",False,False,False,True,True,False,False,False,False,True,True,False,0,0.001,vanilla_rag
contra-04,contradictory,How long do customers have to request a refund on a licence?,"Customers may request a full refund within 30 days of purchase for any
Northwind Systems software licence. [0]",True,False,False,True,True,False,False,True,True,True,False,False,0,0.001,vanilla_rag
contra-05,contradictory,What is the paid annual leave entitlement according to company policy?,"This policy defines paid annual leave entitlements for all staff of Northwind
Systems Private Limited with effect from 1 January 2026. [0]",False,False,False,True,True,False,False,True,True,True,False,False,0,0.001,vanilla_rag
contra-06,contradictory,How many days of annual leave is a full-time staff member given each year?,Full-time staff get 24 days of paid annual leave each year. [0],True,False,False,True,True,False,False,False,False,True,False,False,0,0.001,vanilla_rag
contra-07,contradictory,What refund period applies to a standard licence purchase?,"Customers may request a full refund within 14 days of purchase for any
Northwind Systems software licence. [0]",False,False,False,True,True,False,False,False,False,True,True,False,0,0.001,vanilla_rag
contra-08,contradictory,How many leave days does an employee accrue per month?,A: Full-time employees get 18 days of paid annual leave per year. [0],False,False,False,True,True,False,False,False,False,True,True,False,0,0.001,vanilla_rag
outdated-01,outdated,How many unused leave days can be carried forward to the next year?,"A maximum of 5 unused leave days may be carried forward into the next
calendar year. [0]",False,False,False,True,True,False,False,False,False,True,False,False,0,0.001,vanilla_rag
outdated-02,outdated,What is the current annual leave entitlement for full-time staff?,Full-time staff get 24 days of paid annual leave each year. [2],True,False,False,True,True,False,False,False,False,True,False,False,0,0.001,vanilla_rag
outdated-03,outdated,What is the current refund window in days?,"Customers may request a full refund within 14 days of purchase for any
Northwind Systems software licence. [0]",False,False,False,True,True,False,False,False,False,True,True,False,0,0.001,vanilla_rag
outdated-04,outdated,How many days does refund processing take?,"Processing takes 3 to 5
business days. [0]",True,False,False,True,True,False,False,True,True,True,False,False,0,0.001,vanilla_rag
outdated-05,outdated,How many leave days can I carry over at the end of December?,A: You can carry forward up to 5 unused days. [0],False,False,False,True,True,False,False,False,False,True,False,False,0,0.001,vanilla_rag
outdated-06,outdated,"According to the latest policy, how much paid annual leave is granted?","This policy defines paid annual leave entitlements for all staff of Northwind
Systems Private Limited with effect from 1 January 2026. [0]",False,False,False,True,True,False,False,True,True,True,False,False,0,0.001,vanilla_rag
outdated-07,outdated,What is the maximum number of leave days carried into the following calendar year?,"A maximum of 5 unused leave days may be carried forward into the next
calendar year. [0]",False,False,False,True,True,False,False,False,False,True,False,False,0,0.001,vanilla_rag
outdated-08,outdated,How long is the refund window for a licence bought today?,"Our refund promise for customers is famously generous too, with a full
90 day no-questions-asked window on every licence we sell. [2]",False,False,False,True,True,False,False,False,False,True,False,False,0,0.001,vanilla_rag
noisy-01,noisy,What is the parking waiting list length?,"The waiting
list is currently approximately three weeks. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
noisy-02,noisy,How far in advance must visitors be registered?,All visitors must be registered at reception at least one day in advance. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
noisy-03,noisy,What is the company's parental leave entitlement?,"This policy defines paid annual leave entitlements for staff of Northwind
Systems Private Limited for the calendar year 2023. [1]",False,True,False,False,False,False,True,,,,False,False,0,0.001,vanilla_rag
noisy-04,noisy,How many sick days are employees entitled to?,"Full-time employees are entitled to 18 days of paid annual leave every
calendar year. [0]",False,True,False,False,False,False,True,,,,True,False,0,0.001,vanilla_rag
noisy-05,noisy,What is the annual bonus percentage?,"Full-time employees are entitled to 24 days of paid annual leave every
calendar year. [0]",False,True,False,False,False,False,True,,,,False,False,0,0.001,vanilla_rag
noisy-06,noisy,On which day is building maintenance scheduled?,"The building undergoes scheduled maintenance on the first Saturday of every
month. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.001,vanilla_rag
noisy-07,noisy,What is the notice period for resignation?,"Interns engaged for a period of six months or less are entitled to 12 days
of paid leave, prorated by duration of engagement. [0]",False,True,False,False,False,False,True,,,,False,False,0,0.001,vanilla_rag
noisy-08,noisy,How many days of study leave are available?,A: Full-time employees get 18 days of paid annual leave per year. [0],False,True,False,False,False,False,True,,,,True,False,0,0.001,vanilla_rag
clean-01,clean,How many paid leave days are interns entitled to?,"Interns engaged for a period of six months or less are entitled to 12 days
of paid leave, prorated by duration of engagement. [0] This is corroborated by Annual Leave Policy 2026 [1].",True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
clean-02,clean,What is the minimum password length?,Passwords must be at least 14 characters and must be rotated every 180 days. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
clean-03,clean,How often must passwords be rotated?,Passwords must be at least 14 characters and must be rotated every 180 days. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
clean-04,clean,Within how many hours must a suspected security incident be reported?,"Suspected security incidents must be reported to the security team within
4 hours of discovery. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
clean-05,clean,After how many days of no use is production access automatically revoked?,"Access not used for
90 consecutive days is automatically revoked. [0]",True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
clean-06,clean,How many days in advance must leave be approved by a manager?,"All leave must be approved by the reporting manager at least 7 working days
in advance, except in the case of medical emergencies. [0] This is corroborated by Annual Leave Policy 2026 [1].",True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
clean-07,clean,How many days per month may employees work remotely?,REMOTE WORK Employees may work remotely up to 8 days per month with manager approval. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
clean-08,clean,Within how many days must business expenses be submitted?,Business expenses must be submitted within 30 days of being incurred. [0],True,False,False,True,False,False,True,True,True,True,False,False,0,0.002,verirag
contra-01,contradictory,How many paid annual leave days do full-time employees get?,"Full-time employees are entitled to 24 days of paid annual leave every
calendar year. [1] Sources disagreed: HR Frequently Asked Questions states 18 days [0], Annual Leave Policy 2023 states 18 days [2], Northwind Culture Blog - Perks Roundup states 35 days [4]. The system selected Annual Leave Policy 2026 on the basis of explicit supersession.",True,False,False,True,True,True,True,True,True,True,False,True,0,0.002,verirag
contra-02,contradictory,What is the refund window for a software licence?,"Customers may request a full refund within 30 days of purchase for any
Northwind Systems software licence. [1] Sources disagreed: Customer Refund Policy 2024 states 14 days [0], Northwind Culture Blog - Perks Roundup states 90 days [2]. The system selected Customer Refund Policy 2026 on the basis of explicit supersession.",True,False,False,True,True,True,True,True,True,True,False,True,0,0.002,verirag
contra-03,contradictory,How much annual leave does the company offer its people?,"Full-time employees are entitled to 24 days of paid annual leave every
calendar year. [1] Sources disagreed: Northwind Culture Blog - Perks Roundup states 35 days [0], Annual Leave Policy 2023 states 18 days [2], HR Frequently Asked Questions states 18 days [4]. The system selected Annual Leave Policy 2026 on the basis of explicit supersession.",True,False,False,True,True,True,True,True,True,True,False,True,0,0.002,verirag
contra-04,contradictory,How long do customers have to request a refund on a licence?,"Customers may request a full refund within 30 days of purchase for any
Northwind Systems software licence. [0] Sources disagreed: Customer Refund Policy 2024 states 14 days [1], Northwind Culture Blog - Perks Roundup states 90 days [2]. The system selected Customer Refund Policy 2026 on the basis of explicit supersession.",True,False,False,True,True,True,True,True,True,True,False,True,0,0.002,verirag
contra-05,contradictory,What is the paid annual leave entitlement according to company policy?,"Full-time employees are entitled to 24 days of paid annual leave every
calendar year. [0] Sources disagreed: Annual Leave Policy 2023 states 18 days [1], HR Frequently Asked Questions states 18 days [4]. The system selected Annual Leave Policy 2026 on the basis of explicit supersession.",True,False,False,True,True,True,True,True,True,True,False,True,0,0.002,verirag
contra-06,contradictory,How many days of annual leave is a full-time staff member given each year?,"Full-time employees are entitled to 24 days of paid annual leave every
calendar year. [2] Sources disagreed: Annual Leave Policy 2023 states 18 days [1], HR Frequently Asked Questions states 18 days [3], Northwind Culture Blog - Perks Roundup states 35 days [4]. The system selected Annual Leave Policy 2026 on the basis of explicit supersession.",True,False,False,True,True,True,True,True,True,True,False,True,0,0.002,verirag
contra-07,contradictory,What refund period applies to a standard licence purchase?,"Customers may request a full refund within 30 days of purchase for any
Northwind Systems software licence. [1] Sources disagreed: Customer Refund Policy 2024 states 14 days [0], Northwind Culture Blog - Perks Roundup states 90 days [2]. The system selected Customer Refund Policy 2026 on the basis of explicit supersession.",True,False,False,True,True,True,True,True,True,True,False,True,0,0.002,verirag
